Latitude,Longitude,Description,Title,Connections
40.7127,-74.0059,IPVPN,New York,Beirut <br/> TEST TEST 
52,4,APH,Amsterdam,Beirut
39,32,IPVPN,Ankara,
37,23,IPVPN,Athens,
-36,174,IPVPN,Auckland,
13,100,APH,Bangkok,
41,2,Check-in,Barcelona,
39,116,Check-in,Beijing,
52,-1,Check-in,Birmingham,
52,13,Check-in,Berlin,
55,-5,IPVPN,Belfast,
19,72,APH,Bombay,
44,0,APH,Bordeaux,
-27,153,APH,Brisbane,
-34,-58,Check-in,Buenos Aires,
30,31,Check-in,Cairo,
22,88,APH,Calcutta,
-33,18,APH,Cape Town,
55,12,Check-in,Copenhagen,
11,43,Check-in,Djibouti,
53,-6,IPVPN,Dublin,
14,-17,IPVPN,Dakar,
55,-4,IPVPN,Glasgow,
16,25,APH,Helsinki,
-42,147,APH,Hobart,
52,104,APH,Irkutsk,
-6,106,Check-in,Jakarta,
3,101,Check-in,Kuala Lumpur,
21,39,Check-in,Mecca,
-22,-43,APH,Rio De Janeiro,
34,-118,APH,Los Angeles,
