Latitude,Longitude,Description,Title,Connections
40.7127837,-74.0059413,IPVPN,"New York",Beirut
54.59728500000001,-5.93012,APH,Amsterdam,Beirut
-34.6036844,-58.3815591,IPVPN,Ankara,
37.983917,23.7293599,IPVPN,Athens,
52.3702157,4.895167900000001,IPVPN,Auckland,
41.3850639,2.1734035,APH,Bangkok,
13.7563309,100.5017651,Check-in,Barcelona,
44.837789,-0.57918,Check-in,Beijing,
19.0759837,72.8776559,Check-in,Birmingham,
33.5206608,-86.80248999999999,Check-in,Berlin,
-27.4710107,153.0234489,IPVPN,Belfast,
-36.8484597,174.7633315,APH,Bombay,
39.904211,116.407395,APH,Bordeaux,
39.9333635,32.8597419,APH,Brisbane,
52.52000659999999,13.404954,Check-in,"Buenos Aires",
30.0444196,31.2357116,Check-in,Cairo,
22.572646,88.36389500000001,APH,Calcutta,
-33.9248685,18.4240553,APH,"Cape Town",
55.6760968,12.5683371,Check-in,Copenhagen,
11.825138,42.590275,Check-in,Djibouti,
53.3498053,-6.2603097,IPVPN,Dublin,
14.7645042,-17.3660286,IPVPN,Dakar,
55.864237,-4.251806,IPVPN,Glasgow,
60.16985569999999,24.938379,APH,Helsinki,
-42.8819032,147.3238148,APH,Hobart,
52.28697409999999,104.3050183,APH,Irkutsk,
-6.2087634,106.845599,Check-in,Jakarta,
3.139003,101.686855,Check-in,"Kuala Lumpur",
21.3890824,39.8579118,Check-in,Mecca,
-22.9068467,-43.1728965,APH,"Rio De Janeiro",
34.0522342,-118.2436849,APH,"Los Angeles",
