Latitude,Longitude,Description,Title,Connections
30.0444196,31.2357116,IPVPN,"New York",Beirut
41.3850639,2.1734035,APH,Amsterdam,Beirut
-27.4710107,153.0234489,IPVPN,Ankara,
-36.8484597,174.7633315,IPVPN,Athens,
11.825138,42.590275,IPVPN,Auckland,
-34.6036844,-58.3815591,APH,Bangkok,
52.3702157,4.895167900000001,Check-in,Barcelona,
54.59728500000001,-5.93012,Check-in,Beijing,
13.7563309,100.5017651,Check-in,Birmingham,
33.5206608,-86.80248999999999,Check-in,Berlin,
40.7127837,-74.0059413,IPVPN,Belfast,
53.3498053,-6.2603097,APH,Bombay,
37.983917,23.7293599,APH,Bordeaux,
22.572646,88.36389500000001,APH,Brisbane,
19.0759837,72.8776559,Check-in,"Buenos Aires",
52.52000659999999,13.404954,Check-in,Cairo,
-33.9248685,18.4240553,APH,Calcutta,
55.6760968,12.5683371,APH,"Cape Town",
39.904211,116.407395,Check-in,Copenhagen,
44.837789,-0.57918,Check-in,Djibouti,
39.9333635,32.8597419,IPVPN,Dublin,
3.139003,101.686855,IPVPN,Dakar,
21.3890824,39.8579118,IPVPN,Glasgow,
-22.9068467,-43.1728965,APH,Helsinki,
34.0522342,-118.2436849,APH,Hobart,
14.7645042,-17.3660286,APH,Irkutsk,
55.864237,-4.251806,Check-in,Jakarta,
60.16985569999999,24.938379,Check-in,"Kuala Lumpur",
52.28697409999999,104.3050183,Check-in,Mecca,
-42.8819032,147.3238148,APH,"Rio De Janeiro",
-6.2087634,106.845599,APH,"Los Angeles",
